episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.05,0.97387,-0.359518,53.605145,,0.211111,,0.001,0.001
2,27.13,23,0.06,0.973445,-0.450979,236.653336,,0.211566,,0.001,0.001
3,11.05,14,0.06,0.973333,0.20928,32.280735,,0.489589,,0.001,0.001
4,14.69,19,0.07,0.973289,0.12765,54.581158,,0.562783,,0.001,0.001
5,16.0,18,0.07,0.973358,0.253565,67.883209,,0.793794,,0.001,0.001
6,62.2,42,0.08,0.973464,0.286738,1125.35791,,0.910512,,0.001,0.001
7,22.14,22,0.08,0.973728,0.460169,139.649216,,1.172697,,0.001,0.001
8,148.96,73,0.1,0.973993,0.102504,5520.750977,,0.710275,,0.001,0.001
9,11.58,16,0.11,0.974201,-0.199031,28.285107,,1.246091,,0.001,0.001
10,34.29,30,0.12,0.974437,0.194183,333.898743,,1.440754,,0.001,0.001
11,15.13,18,0.12,0.974616,-0.078659,50.560745,,1.595921,,0.001,0.001
12,201.55,89,0.14,0.974753,-0.036564,9305.503906,,0.910859,,0.001,0.001
13,147.5,73,0.15,0.974917,0.183292,5286.735352,,1.091418,,0.001,0.001
14,198.01,90,0.17,0.975073,0.026468,9185.003906,,1.024017,,0.001,0.001
15,121.05,62,0.19,0.975213,0.014862,3920.873047,,1.351251,,0.001,0.001
16,191.1,85,0.2,0.975388,0.121399,8410.605469,,1.324332,,0.001,0.001
17,103.49,56,0.22,0.975537,-0.043365,2837.997803,,1.476592,,0.001,0.001
18,208.96,91,0.24,0.975702,0.130291,9669.123047,,1.412641,,0.001,0.001
19,178.69,81,0.25,0.975845,-0.027861,7539.208496,,1.603006,,0.001,0.001
20,73.62,44,0.26,0.975913,-0.274537,1503.470703,,1.818563,,0.001,0.001
21,207.37,92,0.28,0.976014,0.188699,9276.798828,,1.942435,,0.001,0.001
22,211.4,92,0.3,0.976095,-0.061525,9743.719727,,1.802731,,0.001,0.001
23,218.52,95,0.32,0.976169,-0.010694,10322.360352,,1.919483,,0.001,0.001
24,179.84,84,0.34,0.976211,-0.209036,7093.341309,,2.305053,,0.001,0.001
25,208.09,92,0.36,0.976245,-0.046164,9242.835938,,2.397049,,0.001,0.001
26,206.44,92,0.37,0.976311,0.123661,8922.629883,,2.566596,,0.001,0.001
27,164.39,79,0.39,0.97633,-0.066749,6093.496094,,2.922108,,0.001,0.001
28,68.16,42,0.4,0.976334,-0.081851,1206.337646,,3.485254,,0.001,0.001
29,30.08,30,0.41,0.976389,0.37695,222.571854,,2.38858,,0.001,0.001
30,95.24,55,0.42,0.976434,0.01577,2219.530029,,3.492976,,0.001,0.001
31,206.88,92,0.44,0.976434,-0.211559,8969.726562,,3.263127,,0.001,0.001
32,134.18,68,0.45,0.976436,0.023515,4397.348145,,3.40774,,0.001,0.001
33,188.44,94,0.47,0.976413,-0.088885,7528.862305,,3.345279,,0.001,0.001
34,86.27,50,0.48,0.976355,-0.175814,1920.923096,,3.851121,,0.001,0.001
35,197.42,89,0.5,0.976358,0.170119,8177.572266,,3.711647,,0.001,0.001
36,208.94,92,0.52,0.976388,0.120149,9109.556641,,3.822387,,0.001,0.001
37,205.02,91,0.54,0.976398,-0.120696,8999.978516,,3.967487,,0.001,0.001
38,205.8,92,0.55,0.976374,-0.091544,8802.28418,,4.17208,,0.001,0.001
39,207.15,92,0.57,0.976321,-0.089039,8777.368164,,4.282228,,0.001,0.001
40,199.63,89,0.59,0.976365,0.401573,8508.925781,,4.428262,,0.001,0.001
41,211.14,92,0.61,0.976393,-0.024768,9244.297852,,4.35437,,0.001,0.001
42,207.27,92,0.63,0.976417,0.007326,8717.866211,,4.689738,,0.001,0.001
43,206.19,91,0.65,0.976391,-0.141221,9013.398438,,4.523899,,0.001,0.001
44,209.07,92,0.67,0.976336,-0.136821,8935.033203,,4.840053,,0.001,0.001
45,199.8,89,0.68,0.976293,0.016602,8517.359375,,4.904051,,0.001,0.001
46,214.46,93,0.7,0.976181,-0.389029,9367.727539,,5.018175,,0.001,0.001
47,214.99,94,0.72,0.976088,0.044879,9530.24707,,5.173229,,0.001,0.001
48,238.13,120,0.75,0.975976,-0.077229,8986.235352,,5.04314,,0.001,0.001
49,217.04,96,0.77,0.975812,-0.167739,9397.213867,,5.235303,,0.001,0.001
50,187.17,90,0.78,0.97565,-0.064617,7409.870605,,5.200444,,0.001,0.001
51,237.63,119,0.89,0.975516,0.060213,9672.130859,,5.102474,,0.001,0.001
52,188.05,87,0.9,0.975404,0.026643,7325.969238,,5.524449,,0.001,0.001
53,209.94,97,0.92,0.975333,0.121977,8594.548828,,5.622241,,0.001,0.001
