episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.02,0.974285,0.154262,0.614662,,0.211111,0.775361,0.001,0.001
2,25.97,22,0.03,0.97451,0.166889,1.431633,,0.241836,1.169843,0.001,0.001
3,15.94,17,0.03,0.974746,0.101818,0.873207,,0.499813,0.919778,0.001,0.001
4,14.69,17,0.04,0.974943,0.104915,0.809071,,0.533094,0.843329,0.001,0.001
5,19.58,20,0.04,0.975312,0.242818,0.958376,,0.757849,0.956549,0.001,0.001
6,29.38,23,0.05,0.975486,-0.165973,1.663594,,0.737299,1.255154,0.001,0.001
7,12.25,13,0.05,0.975629,0.141314,0.926115,,0.930452,0.902841,0.001,0.001
8,12.58,14,0.05,0.975706,-0.2189,0.828964,,1.020632,0.857071,0.001,0.001
9,15.18,20,0.06,0.975713,-0.321846,0.676939,,1.155995,0.723049,0.001,0.001
10,38.38,33,0.07,0.975678,-0.213773,1.426271,,1.186779,1.135026,0.001,0.001
11,15.83,19,0.07,0.975528,-0.669875,0.871908,,1.510167,0.787344,0.001,0.001
12,16.94,19,0.07,0.975361,-0.265115,0.962857,,1.732781,0.840891,0.001,0.001
13,10.4,15,0.08,0.975219,0.020011,0.859852,,1.671498,0.63039,0.001,0.001
14,17.75,19,0.08,0.97508,-0.208216,1.102095,,1.882699,0.876532,0.001,0.001
15,12.95,16,0.09,0.974934,-0.079748,1.039046,,2.19521,0.737721,0.001,0.001
16,12.9,16,0.09,0.974773,-0.222484,1.067383,,2.350031,0.729951,0.001,0.001
17,15.65,17,0.09,0.97473,0.20612,1.205048,,2.520463,0.841953,0.001,0.001
18,33.4,28,0.1,0.974683,-0.024941,1.756474,,2.502532,1.133405,0.001,0.001
19,18.67,19,0.11,0.974639,-0.020559,1.401654,,2.731619,0.901964,0.001,0.001
20,25.15,22,0.11,0.97463,0.19592,1.650324,,2.442085,1.070207,0.001,0.001
21,97.82,60,0.12,0.974589,-0.213339,3.005387,,2.310863,1.588276,0.001,0.001
22,18.49,18,0.13,0.974563,0.096089,1.597703,,3.28254,0.927594,0.001,0.001
23,18.5,18,0.13,0.974565,0.126449,1.55133,,3.418215,0.923426,0.001,0.001
24,14.97,17,0.13,0.974562,-0.033922,1.555471,,3.360162,0.768494,0.001,0.001
25,25.89,22,0.14,0.974535,-0.235812,2.291124,,3.098849,1.082435,0.001,0.001
