episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.06,0.974098,28.285549,,,,,0.0001,
2,26.52,22,0.07,0.974103,57.38879,,,,,0.0001,
3,25.04,22,0.07,0.974107,53.793125,,,,,0.0001,
4,12.14,15,0.08,0.974102,24.059387,,,,,0.0001,
5,18.48,18,0.08,0.974098,42.666611,,,,,0.0001,
6,24.07,20,0.09,0.974095,55.407532,,,,,0.0001,
7,13.81,14,0.09,0.974087,29.58136,,,,,0.0001,
8,10.91,12,0.09,0.974079,22.641283,,,,,0.0001,
9,44.48,30,0.1,0.974079,106.712234,,,,,0.0001,
10,49.02,34,0.11,0.974071,101.101501,,,,,0.0001,
11,39.1,31,0.11,0.97406,82.475784,,,,,0.0001,
12,8.02,11,0.11,0.974047,15.404555,,,,,0.0001,
13,21.16,18,0.12,0.974032,46.021381,,,,,0.0001,
14,28.09,24,0.12,0.974011,52.311676,,,,,0.0001,
15,12.93,16,0.13,0.973992,28.449345,,,,,0.0001,
16,17.67,16,0.13,0.973973,36.774124,,,,,0.0001,
17,29.87,24,0.14,0.973952,60.634449,,,,,0.0001,
18,11.99,13,0.14,0.973931,24.117241,,,,,0.0001,
19,19.17,20,0.14,0.973907,38.561577,,,,,0.0001,
20,29.52,21,0.15,0.973887,69.142128,,,,,0.0001,
21,60.84,38,0.15,0.973869,133.631226,,,,,0.0001,
22,9.06,10,0.16,0.973846,17.47484,,,,,0.0001,
23,31.12,26,0.16,0.973829,70.354156,,,,,0.0001,
24,21.4,19,0.17,0.973819,53.125866,,,,,0.0001,
25,15.64,17,0.17,0.973806,32.342472,,,,,0.0001,
26,14.23,14,0.17,0.973798,36.195896,,,,,0.0001,
27,10.77,12,0.17,0.973789,23.112284,,,,,0.0001,
28,57.91,38,0.18,0.973785,132.906845,,,,,0.0001,
29,17.58,17,0.19,0.973781,41.029606,,,,,0.0001,
30,108.24,63,0.2,0.973779,213.932404,,,,,0.0001,
