episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,61.57,42,0.01,0.974077,,,,,,0.01,
2,3.64,10,0.01,0.974077,,,,,,0.01,
3,8.48,14,0.01,0.974077,,,,,,0.01,
4,12.98,16,0.01,0.974077,,,,,,0.01,
5,60.14,36,0.04,0.980313,0.104374,,21.398649,,,0.01,
6,8.23,10,0.04,0.980313,,,,,,0.01,
7,6.63,9,0.04,0.980313,,,,,,0.01,
8,4.8,8,0.04,0.980313,,,,,,0.01,
9,5.73,8,0.05,0.980313,,,,,,0.01,
10,5.15,8,0.05,0.980321,0.130564,,2.879232,,,0.01,
11,43.23,33,0.06,0.980321,,,,,,0.01,
12,29.41,25,0.06,0.980321,,,,,,0.01,
13,14.31,15,0.06,0.980321,,,,,,0.01,
14,9.36,11,0.06,0.980321,,,,,,0.01,
15,8.24,10,0.07,0.981862,0.039382,,13.733827,,,0.01,
16,72.82,45,0.08,0.981862,,,,,,0.01,
17,94.69,67,0.09,0.981862,,,,,,0.01,
18,95.85,65,0.1,0.981862,,,,,,0.01,
19,89.65,60,0.1,0.981862,,,,,,0.01,
20,85.51,55,0.13,0.983362,0.062239,,40.305473,,,0.01,
21,87.85,52,0.14,0.983362,,,,,,0.01,
22,95.98,59,0.15,0.983362,,,,,,0.01,
23,89.58,53,0.16,0.983362,,,,,,0.01,
24,90.62,54,0.16,0.983362,,,,,,0.01,
25,89.98,56,0.19,0.985367,0.041871,,43.753578,,,0.01,
26,82.45,49,0.2,0.985367,,,,,,0.01,
27,97.74,56,0.21,0.985367,,,,,,0.01,
28,99.34,57,0.21,0.985367,,,,,,0.01,
29,97.68,56,0.22,0.985367,,,,,,0.01,
30,90.6,53,0.25,0.986504,-0.041725,,46.071236,,,0.01,
31,107.85,60,0.26,0.986504,,,,,,0.01,
32,89.33,52,0.26,0.986504,,,,,,0.01,
33,97.53,55,0.27,0.986504,,,,,,0.01,
34,95.46,54,0.28,0.986504,,,,,,0.01,
35,92.83,53,0.3,0.98715,-0.016222,,47.461288,,,0.01,
36,120.05,64,0.31,0.98715,,,,,,0.01,
37,93.82,53,0.32,0.98715,,,,,,0.01,
38,79.59,47,0.33,0.98715,,,,,,0.01,
39,99.36,55,0.33,0.98715,,,,,,0.01,
40,86.44,50,0.36,0.987637,0.044351,,47.69482,,,0.01,
41,120.3,65,0.37,0.987637,,,,,,0.01,
42,110.44,60,0.38,0.987637,,,,,,0.01,
43,116.72,63,0.39,0.987637,,,,,,0.01,
44,113.59,62,0.4,0.987637,,,,,,0.01,
45,111.15,61,0.43,0.988828,0.0614,,54.271866,,,0.01,
