episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
1,13.36,17,0.02,0.974077,,,,,
2,26.76,22,0.02,0.974077,,,,,
3,27.94,24,0.02,0.974077,,,,,
4,10.32,13,0.03,0.974077,,,,,
5,48.0,31,0.07,0.976164,63.171925,,0.776803,,
6,26.89,23,0.07,0.976164,,,,,
7,20.08,19,0.07,0.976164,,,,,
8,24.86,21,0.08,0.976164,,,,,
9,14.35,15,0.08,0.976164,,,,,
10,22.37,20,0.09,0.980013,44.127651,,1.31991,,
11,14.49,15,0.09,0.980013,,,,,
12,17.59,17,0.09,0.980013,,,,,
13,12.84,14,0.09,0.980013,,,,,
14,21.18,19,0.1,0.980013,,,,,
15,12.62,14,0.1,0.980648,27.046741,,1.676678,,
16,9.66,12,0.1,0.980648,,,,,
17,12.53,14,0.11,0.980648,,,,,
18,12.36,14,0.11,0.980648,,,,,
19,10.63,13,0.11,0.980648,,,,,
20,10.69,13,0.12,0.979048,15.491117,,1.882757,,
21,7.38,11,0.12,0.979048,,,,,
22,10.89,13,0.12,0.979048,,,,,
23,9.59,12,0.12,0.979048,,,,,
24,8.82,12,0.12,0.979048,,,,,
25,9.19,12,0.13,0.977908,10.752441,,2.015913,,
26,7.56,11,0.13,0.977908,,,,,
27,7.65,11,0.13,0.977908,,,,,
28,7.74,11,0.13,0.977908,,,,,
29,7.39,11,0.13,0.977908,,,,,
30,8.04,11,0.14,0.975763,6.114387,,2.099625,,
31,6.43,10,0.14,0.975763,,,,,
32,7.83,11,0.14,0.975763,,,,,
33,5.74,10,0.14,0.975763,,,,,
34,6.84,10,0.15,0.975763,,,,,
35,8.59,12,0.15,0.974149,5.073666,,2.161286,,
36,6.39,10,0.15,0.974149,,,,,
37,6.64,11,0.15,0.974149,,,,,
38,7.02,11,0.15,0.974149,,,,,
39,8.46,12,0.16,0.974149,,,,,
40,5.24,9,0.16,0.973741,4.167138,,2.207256,,
41,6.35,10,0.16,0.973741,,,,,
42,6.0,10,0.16,0.973741,,,,,
43,8.91,12,0.17,0.973741,,,,,
44,7.49,11,0.17,0.973741,,,,,
45,7.38,11,0.17,0.97359,4.933277,,2.266509,,
46,7.04,11,0.17,0.97359,,,,,
47,7.67,11,0.18,0.97359,,,,,
48,6.99,11,0.18,0.97359,,,,,
49,8.94,12,0.18,0.97359,,,,,
50,8.85,12,0.18,0.974475,6.484746,,2.34023,,
51,8.78,12,0.2,0.974475,,,,,
52,8.9,12,0.2,0.974475,,,,,
53,7.58,11,0.2,0.974475,,,,,
54,9.29,12,0.2,0.974475,,,,,
55,11.74,14,0.21,0.974894,8.722998,,2.457763,,
56,12.14,15,0.21,0.974894,,,,,
57,12.2,14,0.21,0.974894,,,,,
58,2.09,12,0.22,0.974894,,,,,
59,11.01,13,0.22,0.974894,,,,,
60,2.65,13,0.22,0.975014,3.684331,,2.507684,,
61,16.32,17,0.23,0.975014,,,,,
62,19.93,19,0.23,0.975014,,,,,
63,14.06,15,0.23,0.975014,,,,,
64,12.42,14,0.23,0.975014,,,,,
65,12.27,14,0.24,0.974716,21.013639,,2.786742,,
66,44.95,37,0.25,0.974716,,,,,
67,24.56,21,0.25,0.974716,,,,,
68,17.42,17,0.25,0.974716,,,,,
69,20.89,19,0.25,0.974716,,,,,
70,48.79,35,0.27,0.974504,59.733883,,3.533813,,
71,47.36,34,0.27,0.974504,,,,,
72,47.79,36,0.28,0.974504,,,,,
73,46.99,34,0.28,0.974504,,,,,
74,57.03,40,0.28,0.974504,,,,,
75,46.22,34,0.3,0.974707,88.518608,,4.581922,,
76,47.39,36,0.31,0.974707,,,,,
77,2.66,17,0.31,0.974707,,,,,
78,45.3,31,0.31,0.974707,,,,,
79,50.83,35,0.32,0.974707,,,,,
80,50.96,36,0.33,0.974747,66.301056,,5.433891,,
81,48.72,36,0.34,0.974747,,,,,
