episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,36.96,35,0.01,0.974077,,,,,,0.01,
2,11.08,12,0.01,0.974077,,,,,,0.01,
3,41.79,35,0.01,0.974077,,,,,,0.01,
4,62.17,39,0.02,0.974077,,,,,,0.01,
5,14.38,19,0.05,0.967864,-0.134064,,19.834166,,,0.01,
6,188.12,103,0.06,0.967864,,,,,,0.01,
7,136.69,72,0.07,0.967864,,,,,,0.01,
8,141.2,99,0.09,0.967864,,,,,,0.01,
9,187.05,93,0.1,0.967864,,,,,,0.01,
10,193.05,114,0.15,0.967938,5.997561,,22.27391,,,0.01,
11,11.44,14,0.15,0.967938,,,,,,0.01,
12,9.27,12,0.16,0.967938,,,,,,0.01,
13,8.78,12,0.16,0.967938,,,,,,0.01,
14,11.68,14,0.16,0.967938,,,,,,0.01,
15,13.7,15,0.17,0.968516,-20.335676,,21.438026,,,0.01,
16,17.12,18,0.17,0.968516,,,,,,0.01,
17,12.58,15,0.17,0.968516,,,,,,0.01,
18,22.01,21,0.17,0.968516,,,,,,0.01,
19,14.99,16,0.18,0.968516,,,,,,0.01,
20,19.76,19,0.19,0.971409,-9.218483,,20.818911,,,0.01,
21,67.46,58,0.19,0.971409,,,,,,0.01,
22,83.88,72,0.2,0.971409,,,,,,0.01,
23,17.8,17,0.21,0.971409,,,,,,0.01,
24,125.23,92,0.22,0.971409,,,,,,0.01,
25,119.69,106,0.26,0.97294,2.112797,,21.542309,,,0.01,
26,211.99,208,0.28,0.97294,,,,,,0.01,
27,200.87,123,0.3,0.97294,,,,,,0.01,
28,182.2,112,0.31,0.97294,,,,,,0.01,
29,194.99,128,0.33,0.97294,,,,,,0.01,
30,125.75,109,0.4,0.974084,5.17027,,23.50658,,,0.01,
31,136.34,86,0.41,0.974084,,,,,,0.01,
32,73.95,43,0.42,0.974084,,,,,,0.01,
33,123.52,78,0.43,0.974084,,,,,,0.01,
34,115.04,73,0.44,0.974084,,,,,,0.01,
35,119.42,74,0.47,0.974383,3.805801,,24.741762,,,0.01,
36,67.94,40,0.48,0.974383,,,,,,0.01,
37,60.74,36,0.48,0.974383,,,,,,0.01,
38,109.18,62,0.49,0.974383,,,,,,0.01,
39,53.05,31,0.49,0.974383,,,,,,0.01,
40,53.31,31,0.51,0.974881,2.111795,,25.268288,,,0.01,
41,55.94,32,0.52,0.974881,,,,,,0.01,
42,49.31,28,0.52,0.974881,,,,,,0.01,
43,48.08,28,0.52,0.974881,,,,,,0.01,
44,72.87,43,0.53,0.974881,,,,,,0.01,
45,50.13,29,0.55,0.974677,0.622185,,25.411513,,,0.01,
46,76.96,45,0.55,0.974677,,,,,,0.01,
47,50.43,29,0.56,0.974677,,,,,,0.01,
48,79.24,46,0.56,0.974677,,,,,,0.01,
49,85.31,50,0.57,0.974677,,,,,,0.01,
50,88.95,51,0.59,0.974242,2.19299,,25.948665,,,0.01,
51,50.17,29,0.64,0.974242,,,,,,0.01,
52,84.51,49,0.65,0.974242,,,,,,0.01,
53,80.06,47,0.66,0.974242,,,,,,0.01,
54,87.75,51,0.66,0.974242,,,,,,0.01,
55,87.17,51,0.69,0.974003,2.391224,,26.510606,,,0.01,
56,89.27,52,0.69,0.974003,,,,,,0.01,
57,84.07,50,0.7,0.974003,,,,,,0.01,
58,90.61,54,0.71,0.974003,,,,,,0.01,
59,91.11,53,0.71,0.974003,,,,,,0.01,
60,86.75,51,0.74,0.974235,3.092022,,27.216435,,,0.01,
61,82.59,48,0.75,0.974235,,,,,,0.01,
62,86.82,51,0.75,0.974235,,,,,,0.01,
63,87.21,51,0.76,0.974235,,,,,,0.01,
64,97.33,57,0.77,0.974235,,,,,,0.01,
65,47.17,27,0.79,0.973499,2.443955,,27.823455,,,0.01,
66,84.98,50,0.8,0.973499,,,,,,0.01,
67,89.41,52,0.8,0.973499,,,,,,0.01,
68,90.93,53,0.81,0.973499,,,,,,0.01,
69,89.68,52,0.82,0.973499,,,,,,0.01,
70,84.09,49,0.84,0.973047,3.058361,,28.506727,,,0.01,
71,91.98,53,0.85,0.973047,,,,,,0.01,
72,49.73,37,0.85,0.973047,,,,,,0.01,
73,91.0,52,0.86,0.973047,,,,,,0.01,
74,47.96,36,0.87,0.973047,,,,,,0.01,
75,90.21,52,0.89,0.972506,1.49461,,28.884319,,,0.01,
76,92.62,53,0.9,0.972506,,,,,,0.01,
