episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,36.96,35,0.03,0.967864,-1.308041,,20.0,,,0.01,
2,9.23,22,0.03,0.966666,-19.171606,,20.0,,,0.01,
3,7.23,19,0.04,0.965121,-25.141729,,20.0,,,0.01,
4,11.41,24,0.04,0.964511,-17.845961,,20.0,,,0.01,
5,7.39,32,0.05,0.963664,-24.306595,,20.0,,,0.01,
6,-1.54,19,0.05,0.962753,-48.322388,,20.0,,,0.01,
7,3.03,7,0.06,0.962135,-59.872425,,20.0,,,0.01,
8,-1.63,18,0.06,0.961258,-47.798904,,20.0,,,0.01,
9,-2.14,19,0.06,0.9604,-47.47155,,20.0,,,0.01,
10,3.55,7,0.07,0.959968,-50.38036,,20.0,,,0.01,
11,-1.19,19,0.07,0.959871,-45.448338,,20.0,,,0.01,
12,-1.61,20,0.07,0.959645,-49.97839,,20.0,,,0.01,
13,1.86,24,0.08,0.960268,-32.370571,,20.0,,,0.01,
14,4.45,17,0.08,0.960117,-43.998829,,20.0,,,0.01,
15,0.89,23,0.09,0.96084,-33.672554,,20.0,,,0.01,
16,2.56,28,0.1,0.961926,-38.438545,,20.0,,,0.01,
17,1.94,27,0.1,0.962444,-40.319572,,20.0,,,0.01,
18,0.06,25,0.11,0.963037,-40.961006,,20.0,,,0.01,
19,1.61,26,0.11,0.963554,-44.547199,,20.0,,,0.01,
20,-0.7,21,0.12,0.963281,-56.329311,,20.0,,,0.01,
21,-2.01,20,0.12,0.963095,-44.904881,,20.0,,,0.01,
22,0.31,25,0.13,0.961026,-50.376953,,20.0,,,0.01,
23,1.94,29,0.13,0.958576,-53.906178,,20.0,,,0.01,
24,0.6,27,0.14,0.95641,-43.633324,,20.0,,,0.01,
25,-1.54,21,0.15,0.954398,-50.560417,,20.0,,,0.01,
26,-1.6,19,0.15,0.95227,-54.656483,,20.0,,,0.01,
27,-0.98,20,0.15,0.950384,-47.069805,,20.0,,,0.01,
28,-2.79,19,0.16,0.948818,-44.626011,,20.0,,,0.01,
29,-1.62,21,0.16,0.947093,-50.209332,,20.0,,,0.01,
30,-0.86,23,0.17,0.945929,-44.918732,,20.0,,,0.01,
31,-0.85,22,0.17,0.944457,-52.303402,,20.0,,,0.01,
32,-1.18,24,0.18,0.943393,-45.361256,,20.0,,,0.01,
33,-1.38,23,0.18,0.943133,-40.224514,,20.0,,,0.01,
34,-1.28,25,0.19,0.943344,-46.793713,,20.0,,,0.01,
35,0.24,28,0.2,0.943282,-55.006538,,20.0,,,0.01,
36,1.74,30,0.2,0.944067,-30.410738,,20.0,,,0.01,
37,2.38,32,0.21,0.944892,-34.615551,,20.0,,,0.01,
38,1.56,35,0.22,0.945245,-40.315628,,20.0,,,0.01,
39,1.42,33,0.22,0.944999,-45.85104,,20.0,,,0.01,
40,2.19,32,0.23,0.945019,-39.095348,,20.0,,,0.01,
41,2.21,33,0.24,0.945316,-33.601341,,20.0,,,0.01,
42,4.25,16,0.24,0.945663,-42.628845,,20.0,,,0.01,
