episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,36.96,35,0.01,0.974077,,,,,,0.0001,0.001
2,11.08,12,0.01,0.974077,,,,,,0.0001,0.001
3,41.79,35,0.01,0.974077,,,,,,0.0001,0.001
4,62.17,39,0.02,0.974077,,,,,,0.0001,0.001
5,14.38,19,0.04,0.974056,81.105553,584.886047,,0.03215,,0.0001,0.001
6,4.98,7,0.04,0.974056,,,,,,0.0001,0.001
7,9.67,11,0.05,0.974056,,,,,,0.0001,0.001
8,15.15,17,0.05,0.974056,,,,,,0.0001,0.001
9,9.64,11,0.05,0.974056,,,,,,0.0001,0.001
10,8.61,19,0.06,0.974084,18.84478,32.678215,,0.036858,,0.0001,0.001
11,13.89,15,0.06,0.974084,,,,,,0.0001,0.001
12,6.33,8,0.06,0.974084,,,,,,0.0001,0.001
13,3.98,16,0.06,0.974084,,,,,,0.0001,0.001
14,8.98,10,0.06,0.974084,,,,,,0.0001,0.001
15,12.02,13,0.07,0.974094,15.157356,30.017687,,0.158548,,0.0001,0.001
16,15.37,16,0.07,0.974094,,,,,,0.0001,0.001
17,16.68,25,0.08,0.974094,,,,,,0.0001,0.001
18,10.41,12,0.08,0.974094,,,,,,0.0001,0.001
19,10.49,11,0.08,0.974094,,,,,,0.0001,0.001
20,37.74,30,0.09,0.974112,44.566963,183.824432,,0.307192,,0.0001,0.001
21,37.71,35,0.09,0.974112,,,,,,0.0001,0.001
22,11.53,12,0.1,0.974112,,,,,,0.0001,0.001
23,19.96,25,0.1,0.974112,,,,,,0.0001,0.001
24,14.61,22,0.1,0.974112,,,,,,0.0001,0.001
25,20.37,18,0.11,0.974136,44.467106,174.585571,,0.361921,,0.0001,0.001
26,4.86,10,0.12,0.974136,,,,,,0.0001,0.001
27,14.49,14,0.12,0.974136,,,,,,0.0001,0.001
28,24.64,19,0.12,0.974136,,,,,,0.0001,0.001
29,12.22,13,0.12,0.974136,,,,,,0.0001,0.001
30,11.41,22,0.13,0.974162,27.502172,71.03688,,0.652262,,0.0001,0.001
31,5.39,17,0.13,0.974162,,,,,,0.0001,0.001
32,41.69,35,0.14,0.974162,,,,,,0.0001,0.001
33,8.03,21,0.14,0.974162,,,,,,0.0001,0.001
34,7.73,14,0.14,0.974162,,,,,,0.0001,0.001
