episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,12.53,26,0.03,0.974015,1.752026,0.406623,,-0.006606,0.472121,0.0001,0.001
2,5.04,24,0.03,0.97396,0.523897,0.295516,,0.086003,0.195544,0.0001,0.001
3,62.85,77,0.05,0.973917,3.332581,1.064644,,0.146773,0.809985,0.0001,0.001
4,77.22,57,0.06,0.97388,5.564899,1.967738,,0.286537,1.344423,0.0001,0.001
5,24.22,45,0.07,0.973859,2.312356,0.374653,,0.204934,0.525643,0.0001,0.001
6,64.75,76,0.08,0.973832,3.208706,1.167321,,0.434555,0.840737,0.0001,0.001
7,81.28,74,0.1,0.973805,4.359453,1.609286,,0.262848,1.087767,0.0001,0.001
8,41.67,41,0.11,0.973781,4.098577,1.18717,,0.075013,0.999722,0.0001,0.001
9,60.37,60,0.12,0.973764,4.227559,1.460424,,0.478764,0.989588,0.0001,0.001
10,3.8,23,0.13,0.973749,0.514326,0.336012,,0.775179,0.12381,0.0001,0.001
11,4.83,30,0.13,0.973732,0.411403,0.307053,,0.720086,0.125574,0.0001,0.001
12,20.83,27,0.14,0.973706,2.612482,0.651694,,0.255684,0.735869,0.0001,0.001
13,78.37,47,0.15,0.973675,6.195484,2.996761,,0.650235,1.640388,0.0001,0.001
14,102.59,59,0.16,0.97365,7.231008,3.313585,,0.743051,1.71396,0.0001,0.001
15,7.35,10,0.16,0.97363,3.000018,0.474944,,0.130773,0.625135,0.0001,0.001
16,81.75,49,0.17,0.973616,7.06213,2.986849,,0.805213,1.636774,0.0001,0.001
17,17.01,24,0.18,0.973592,2.433939,0.53355,,0.680975,0.651252,0.0001,0.001
18,63.22,54,0.19,0.973565,4.377796,1.574178,,0.840108,1.138687,0.0001,0.001
19,7.24,25,0.19,0.973542,1.066241,0.27351,,0.883014,0.226805,0.0001,0.001
20,66.37,39,0.2,0.97352,6.726433,3.104249,,1.076664,1.654808,0.0001,0.001
21,19.8,18,0.21,0.9735,4.235344,1.195448,,0.661891,1.011571,0.0001,0.001
22,15.63,26,0.21,0.973482,2.204504,0.385019,,0.838429,0.533392,0.0001,0.001
23,124.67,107,0.23,0.973462,4.550875,1.558142,,1.095088,1.139136,0.0001,0.001
24,87.09,107,0.25,0.973441,3.154699,1.009037,,1.32298,0.784953,0.0001,0.001
25,49.8,56,0.27,0.973416,3.293096,1.110513,,1.268664,0.845243,0.0001,0.001
26,6.7,33,0.27,0.973395,0.620152,0.365653,,1.262053,0.134948,0.0001,0.001
27,52.52,59,0.29,0.973377,3.60522,1.410609,,1.297678,0.844876,0.0001,0.001
28,18.11,43,0.29,0.973362,1.549643,0.32006,,1.327341,0.361645,0.0001,0.001
29,48.27,54,0.31,0.973347,3.425306,0.864685,,1.594729,0.839666,0.0001,0.001
30,72.52,44,0.31,0.973331,6.249306,2.781892,,1.690427,1.582341,0.0001,0.001
31,77.74,86,0.33,0.973316,3.574086,0.949546,,1.732155,0.860615,0.0001,0.001
32,71.34,75,0.35,0.973302,3.76152,1.223203,,1.728176,0.902978,0.0001,0.001
33,16.12,16,0.35,0.973291,3.8526,0.814477,,1.54743,0.840708,0.0001,0.001
34,18.83,16,0.36,0.973283,4.287698,1.239133,,1.830801,1.002261,0.0001,0.001
35,8.47,30,0.36,0.973275,0.754958,0.222181,,1.637262,0.180156,0.0001,0.001
36,13.26,37,0.37,0.973265,1.042138,0.307165,,1.886421,0.267574,0.0001,0.001
