episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.02,0.972014,-1.326249,,6.644787,,,0.01,
2,4.78,11,0.03,0.972193,0.337364,,1.277917,,,0.01,
3,5.66,12,0.03,0.970432,-0.531344,,1.43277,,,0.01,
4,4.37,10,0.03,0.967931,-0.547162,,1.448255,,,0.01,
5,5.14,12,0.03,0.965413,-0.388523,,1.190293,,,0.01,
6,4.76,11,0.04,0.96415,1.266694,,1.284819,,,0.01,
7,6.17,11,0.04,0.964418,1.237214,,2.276732,,,0.01,
8,6.98,12,0.04,0.963571,-1.665464,,2.430126,,,0.01,
9,6.63,12,0.04,0.96343,0.771173,,2.336088,,,0.01,
10,9.85,13,0.05,0.963269,0.214527,,4.166622,,,0.01,
11,10.18,13,0.05,0.962315,-1.158779,,4.453862,,,0.01,
12,12.68,14,0.05,0.961382,-0.204241,,5.971602,,,0.01,
13,25.83,22,0.06,0.959858,-4.279695,,11.870786,,,0.01,
14,19.36,18,0.06,0.958284,-0.93489,,8.942883,,,0.01,
15,17.35,17,0.07,0.956534,-0.716368,,8.113834,,,0.01,
16,23.51,20,0.07,0.954332,-2.819845,,10.962519,,,0.01,
17,56.88,32,0.08,0.952467,0.723138,,28.578121,,,0.01,
18,41.56,24,0.08,0.951506,4.248434,,22.19718,,,0.01,
19,19.22,18,0.09,0.95058,-0.818997,,8.794658,,,0.01,
20,55.73,31,0.1,0.950276,4.078166,,28.130449,,,0.01,
21,19.31,18,0.1,0.949975,-0.343732,,8.919815,,,0.01,
22,13.85,16,0.1,0.94979,0.509066,,5.901612,,,0.01,
23,15.96,16,0.11,0.949185,-1.031115,,7.426404,,,0.01,
24,20.26,19,0.11,0.948494,-0.20794,,9.174054,,,0.01,
25,18.1,18,0.11,0.94788,0.083957,,8.037038,,,0.01,
26,22.8,20,0.12,0.94797,2.065111,,10.499279,,,0.01,
27,47.7,37,0.13,0.946735,-11.13045,,18.514587,,,0.01,
28,48.97,31,0.13,0.94594,3.117481,,22.964127,,,0.01,
29,42.28,27,0.14,0.945478,2.059951,,20.585146,,,0.01,
30,43.38,28,0.14,0.945194,0.827404,,21.220533,,,0.01,
31,41.64,26,0.15,0.945196,2.201596,,20.916292,,,0.01,
32,39.72,25,0.15,0.945578,2.951462,,20.117798,,,0.01,
33,38.44,25,0.16,0.945418,-4.941465,,19.235836,,,0.01,
34,6.84,8,0.16,0.945476,0.555695,,3.823761,,,0.01,
35,6.6,8,0.16,0.945368,-0.352104,,3.536755,,,0.01,
36,8.25,9,0.17,0.945195,-0.240555,,4.476364,,,0.01,
37,5.4,7,0.17,0.945288,0.321972,,2.851117,,,0.01,
38,5.41,7,0.17,0.945043,-0.641532,,2.873736,,,0.01,
39,5.28,7,0.17,0.944372,-1.331268,,2.780538,,,0.01,
40,5.32,7,0.17,0.943873,0.113802,,2.799167,,,0.01,
41,5.33,7,0.17,0.943354,-0.09824,,2.769733,,,0.01,
42,5.28,7,0.18,0.943553,0.711725,,2.802176,,,0.01,
43,5.43,7,0.18,0.943769,0.161432,,2.841184,,,0.01,
44,5.32,7,0.18,0.944011,0.109062,,2.787973,,,0.01,
45,5.27,7,0.18,0.944132,-0.181519,,2.769514,,,0.01,
46,5.32,7,0.18,0.944045,-0.280608,,2.781374,,,0.01,
47,5.35,7,0.18,0.943676,-0.486644,,2.783951,,,0.01,
48,5.44,7,0.19,0.943549,0.518987,,2.891665,,,0.01,
49,5.37,7,0.19,0.943761,0.585326,,2.830911,,,0.01,
50,5.38,7,0.19,0.944159,0.582073,,2.85181,,,0.01,
51,5.39,7,0.2,0.944524,0.017328,,2.825309,,,0.01,
52,5.11,7,0.2,0.944582,-0.484782,,2.663276,,,0.01,
53,5.16,7,0.21,0.944356,-0.63848,,2.727434,,,0.01,
54,5.1,7,0.21,0.94426,0.056084,,2.685565,,,0.01,
55,5.17,7,0.21,0.944292,0.25201,,2.695562,,,0.01,
56,5.0,7,0.21,0.944328,-0.004111,,2.645267,,,0.01,
57,4.7,7,0.21,0.944564,0.10312,,2.378762,,,0.01,
58,4.88,7,0.21,0.945001,0.606145,,2.528592,,,0.01,
59,4.67,7,0.22,0.945296,-0.05507,,2.367107,,,0.01,
60,4.06,7,0.22,0.945651,0.194592,,1.950864,,,0.01,
61,2.93,6,0.22,0.945926,-0.030689,,1.253647,,,0.01,
62,4.47,7,0.22,0.946189,0.011143,,2.19761,,,0.01,
63,3.49,7,0.22,0.946708,0.243074,,1.594876,,,0.01,
64,3.57,7,0.22,0.946731,-0.553433,,1.608384,,,0.01,
65,2.95,6,0.22,0.946576,-0.321601,,1.372274,,,0.01,
