episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,13.36,17,0.02,0.974056,-1.326249,,6.644787,,,0.0001,
2,26.54,22,0.02,0.97402,26.510439,,6.99204,,,0.0001,
3,26.51,23,0.03,0.974,27.32024,,7.325008,,,0.0001,
4,11.17,14,0.03,0.973997,-6.765736,,7.230483,,,0.0001,
5,18.66,18,0.04,0.973989,10.412369,,7.372079,,,0.0001,
6,25.76,21,0.04,0.973983,26.166693,,7.703547,,,0.0001,
7,13.49,13,0.04,0.973978,-0.253222,,7.695775,,,0.0001,
8,10.9,12,0.05,0.97397,-9.729633,,7.595018,,,0.0001,
9,46.94,31,0.05,0.97397,73.871117,,8.485066,,,0.0001,
10,41.2,31,0.06,0.973962,51.148022,,9.201013,,,0.0001,
11,20.02,22,0.06,0.973951,2.32926,,9.244047,,,0.0001,
12,18.95,17,0.07,0.973943,4.517249,,9.292375,,,0.0001,
13,19.04,17,0.07,0.973932,4.179226,,9.363766,,,0.0001,
14,9.82,10,0.07,0.973928,-13.532827,,9.163468,,,0.0001,
15,19.38,19,0.08,0.973921,2.588971,,9.210922,,,0.0001,
16,22.19,21,0.08,0.973916,11.16126,,9.339331,,,0.0001,
17,11.64,12,0.09,0.973919,-9.218746,,9.183821,,,0.0001,
18,31.6,25,0.09,0.973921,27.097872,,9.548096,,,0.0001,
19,11.82,13,0.1,0.973924,-13.248819,,9.370602,,,0.0001,
20,17.19,19,0.1,0.973925,-2.712337,,9.350633,,,0.0001,
21,53.47,35,0.11,0.973927,70.630135,,10.223726,,,0.0001,
22,43.33,28,0.11,0.973931,53.167419,,10.838369,,,0.0001,
23,80.86,49,0.12,0.973936,119.610184,,12.291543,,,0.0001,
24,6.89,12,0.13,0.973942,-35.752037,,11.83266,,,0.0001,
25,7.71,9,0.13,0.973949,-29.369358,,11.440117,,,0.0001,
26,21.75,19,0.13,0.973956,0.588736,,11.440883,,,0.0001,
27,74.83,47,0.14,0.973964,100.843353,,12.672499,,,0.0001,
28,91.89,53,0.15,0.973968,126.004341,,14.35719,,,0.0001,
29,21.97,20,0.16,0.973973,-7.687738,,14.25507,,,0.0001,
30,11.45,15,0.16,0.97398,-31.4904,,13.840625,,,0.0001,
31,13.16,14,0.16,0.97399,-25.817413,,13.494902,,,0.0001,
32,37.15,28,0.17,0.973998,27.242764,,13.837676,,,0.0001,
33,94.78,61,0.18,0.974005,109.235825,,15.220376,,,0.0001,
34,16.14,16,0.19,0.974007,-27.08115,,14.915185,,,0.0001,
35,37.43,31,0.19,0.97401,16.426182,,15.119465,,,0.0001,
36,7.66,10,0.19,0.974016,-42.015831,,14.554462,,,0.0001,
37,20.36,20,0.2,0.974024,-13.313271,,14.368149,,,0.0001,
38,10.98,12,0.2,0.974033,-32.844288,,13.934555,,,0.0001,
39,22.66,19,0.2,0.97404,-6.105,,13.857686,,,0.0001,
40,51.94,33,0.21,0.974047,56.608868,,14.570176,,,0.0001,
41,123.78,65,0.22,0.974052,165.610794,,16.71597,,,0.0001,
42,19.75,17,0.23,0.974055,-22.894739,,16.434587,,,0.0001,
43,6.81,9,0.23,0.974055,-64.826881,,15.779374,,,0.0001,
44,30.94,24,0.24,0.974051,3.215618,,15.834548,,,0.0001,
45,57.51,38,0.24,0.974047,51.36425,,16.495573,,,0.0001,
46,15.62,17,0.25,0.974042,-35.180649,,16.070385,,,0.0001,
47,29.5,25,0.25,0.974035,-4.652079,,16.034072,,,0.0001,
48,57.76,42,0.26,0.974028,48.071053,,16.647767,,,0.0001,
49,49.94,37,0.27,0.974023,36.300285,,17.091123,,,0.0001,
50,54.15,35,0.28,0.974024,48.963009,,17.634459,,,0.0001,
51,10.04,14,0.35,0.974025,-52.339329,,16.990674,,,0.0001,
52,7.75,19,0.36,0.97402,-71.603355,,16.226707,,,0.0001,
53,60.45,38,0.37,0.974014,60.342972,,17.008433,,,0.0001,
54,10.1,14,0.37,0.974013,-44.171974,,16.401788,,,0.0001,
55,27.46,22,0.37,0.97401,-6.818741,,16.338268,,,0.0001,
56,18.75,17,0.38,0.974007,-23.110262,,16.042382,,,0.0001,
57,62.39,40,0.39,0.974007,62.15797,,16.784528,,,0.0001,
58,39.12,30,0.39,0.974011,17.268187,,16.964195,,,0.0001,
59,46.81,33,0.4,0.974019,29.82934,,17.300894,,,0.0001,
60,19.38,31,0.41,0.974023,-40.609859,,16.813591,,,0.0001,
61,50.23,34,0.41,0.974024,35.629162,,17.286534,,,0.0001,
62,89.69,59,0.43,0.974019,83.782524,,18.405699,,,0.0001,
63,99.75,59,0.44,0.974012,114.503319,,19.877745,,,0.0001,
64,15.58,20,0.44,0.974006,-53.00827,,19.211087,,,0.0001,
65,76.09,47,0.45,0.973996,69.024567,,20.134769,,,0.0001,
66,18.67,20,0.45,0.973995,-39.048298,,19.586032,,,0.0001,
67,89.97,52,0.47,0.974,97.701019,,20.743962,,,0.0001,
68,78.63,48,0.48,0.973996,61.349731,,21.614531,,,0.0001,
69,32.53,28,0.48,0.973994,-20.557499,,21.345048,,,0.0001,
70,125.97,81,0.5,0.973992,107.862343,,22.712007,,,0.0001,
71,121.49,64,0.51,0.973987,134.386734,,24.443968,,,0.0001,
72,109.68,63,0.52,0.973982,110.96196,,25.858811,,,0.0001,
73,126.34,69,0.54,0.973978,131.389435,,27.516995,,,0.0001,
74,64.23,39,0.55,0.973977,26.631454,,27.819474,,,0.0001,
75,71.65,43,0.55,0.973972,31.527367,,28.257848,,,0.0001,
76,14.11,17,0.56,0.973967,-87.227142,,27.206521,,,0.0001,
77,63.76,39,0.57,0.973953,15.157976,,27.491242,,,0.0001,
78,93.81,53,0.58,0.973939,71.947685,,28.426399,,,0.0001,
79,81.04,52,0.59,0.973924,38.713188,,28.936687,,,0.0001,
80,48.1,35,0.59,0.973915,-14.427181,,28.716973,,,0.0001,
81,88.38,51,0.6,0.973898,53.447506,,29.477971,,,0.0001,
82,63.17,45,0.61,0.973879,-6.635003,,29.448814,,,0.0001,
83,7.21,9,0.62,0.973854,-130.109406,,28.17381,,,0.0001,
84,18.96,20,0.62,0.973831,-74.242081,,27.237266,,,0.0001,
85,149.72,72,0.63,0.973808,161.416534,,29.34675,,,0.0001,
86,197.04,104,0.66,0.973786,194.223175,,31.827824,,,0.0001,
87,180.39,83,0.67,0.973766,196.084106,,34.261275,,,0.0001,
88,29.25,33,0.68,0.973749,-78.149132,,33.268477,,,0.0001,
89,54.87,34,0.69,0.973733,-22.47603,,32.993081,,,0.0001,
90,172.98,82,0.7,0.973721,175.58374,,35.163116,,,0.0001,
91,125.2,66,0.72,0.973712,96.087997,,36.333722,,,0.0001,
92,63.01,38,0.73,0.973705,-11.785027,,36.155694,,,0.0001,
93,117.24,63,0.74,0.973693,66.422546,,37.075184,,,0.0001,
94,14.43,22,0.74,0.973677,-146.801041,,35.464825,,,0.0001,
95,107.54,59,0.76,0.97366,58.080002,,36.239053,,,0.0001,
96,64.46,39,0.76,0.973646,-6.618795,,36.123633,,,0.0001,
97,141.96,72,0.78,0.97363,111.493248,,37.588373,,,0.0001,
98,214.25,98,0.8,0.973614,209.029953,,40.235128,,,0.0001,
99,205.29,89,0.82,0.973609,218.500916,,42.768354,,,0.0001,
100,153.01,76,0.83,0.973603,102.262093,,44.104709,,,0.0001,
101,174.04,82,0.91,0.973602,146.971252,,45.8027,,,0.0001,
102,150.94,73,0.92,0.973599,94.020882,,47.000972,,,0.0001,
103,109.73,60,0.94,0.973596,17.485929,,47.239855,,,0.0001,
104,181.36,88,0.95,0.973592,119.730591,,48.788056,,,0.0001,
105,57.93,38,0.96,0.973588,-73.195625,,47.857082,,,0.0001,
106,161.68,77,0.98,0.973587,107.680641,,49.193282,,,0.0001,
107,158.86,75,0.99,0.973587,101.384125,,50.445294,,,0.0001,
108,9.66,11,0.99,0.97358,-212.681488,,48.189171,,,0.0001,
109,196.92,87,1.01,0.973568,148.661591,,50.168876,,,0.0001,
110,217.75,95,1.03,0.973558,178.843689,,52.410871,,,0.0001,
111,23.07,23,1.04,0.973546,-173.577316,,50.392416,,,0.0001,
112,205.66,90,1.06,0.973528,145.035934,,52.37859,,,0.0001,
113,71.26,43,1.06,0.973513,-63.973598,,51.51658,,,0.0001,
114,22.34,22,1.07,0.973492,-183.103775,,49.4951,,,0.0001,
115,151.13,71,1.08,0.973471,84.667046,,50.607352,,,0.0001,
116,185.43,84,1.1,0.973454,134.530899,,52.242746,,,0.0001,
117,202.13,89,1.12,0.973442,152.426392,,54.093992,,,0.0001,
118,168.24,88,1.14,0.973431,73.348358,,54.987864,,,0.0001,
119,122.16,64,1.15,0.973422,11.755769,,55.132078,,,0.0001,
120,174.92,81,1.17,0.973408,87.20739,,56.335402,,,0.0001,
121,47.59,34,1.17,0.973393,-132.264877,,54.734223,,,0.0001,
122,87.28,55,1.19,0.973381,-46.238903,,54.130719,,,0.0001,
123,136.93,68,1.2,0.973375,43.732853,,54.632563,,,0.0001,
124,228.61,123,1.22,0.97337,129.178604,,56.247791,,,0.0001,
125,167.38,86,1.24,0.973369,65.464661,,57.01722,,,0.0001,
126,63.43,38,1.25,0.973364,-97.557838,,55.85614,,,0.0001,
127,207.84,90,1.27,0.973364,153.673553,,57.696054,,,0.0001,
128,118.76,66,1.28,0.97336,-6.541649,,57.664774,,,0.0001,
129,23.12,21,1.29,0.973355,-194.279266,,55.368011,,,0.0001,
130,21.08,22,1.3,0.973348,-184.325134,,53.144374,,,0.0001,
131,72.39,43,1.3,0.97334,-64.831642,,52.348426,,,0.0001,
132,129.79,66,1.32,0.973334,40.782784,,52.859438,,,0.0001,
133,145.17,71,1.33,0.973328,57.202507,,53.587854,,,0.0001,
134,168.6,77,1.35,0.973316,90.200043,,54.822423,,,0.0001,
135,85.33,50,1.36,0.973306,-52.461704,,54.158245,,,0.0001,
136,218.6,101,1.38,0.973303,167.490067,,56.156382,,,0.0001,
137,93.98,51,1.39,0.973298,-42.191895,,55.662362,,,0.0001,
138,146.7,72,1.4,0.973292,49.420158,,56.303038,,,0.0001,
139,205.28,90,1.42,0.973289,142.777298,,58.058051,,,0.0001,
140,145.56,70,1.44,0.973285,44.582687,,58.636532,,,0.0001,
141,113.2,60,1.45,0.973287,-1.455866,,58.526128,,,0.0001,
142,113.92,61,1.46,0.973292,-12.045284,,58.328305,,,0.0001,
143,105.68,60,1.47,0.973296,-35.323967,,57.886371,,,0.0001,
144,90.73,52,1.48,0.973305,-47.665791,,57.234701,,,0.0001,
145,41.17,34,1.49,0.973313,-139.292618,,55.455526,,,0.0001,
146,148.8,73,1.5,0.97332,52.394028,,56.120568,,,0.0001,
147,206.69,92,1.52,0.973323,131.613464,,57.8523,,,0.0001,
148,62.39,38,1.53,0.973326,-102.019737,,56.559403,,,0.0001,
149,147.74,71,1.55,0.973334,63.522041,,57.267819,,,0.0001,
150,125.19,64,1.56,0.973337,7.208558,,57.400046,,,0.0001,
151,149.79,75,1.65,0.973335,42.237156,,58.008797,,,0.0001,
152,177.52,98,1.67,0.973338,56.974083,,58.665626,,,0.0001,
153,177.55,81,1.69,0.973345,94.420967,,59.78604,,,0.0001,
154,174.8,81,1.71,0.973355,86.050957,,60.79318,,,0.0001,
155,175.16,83,1.73,0.973366,73.185509,,61.657612,,,0.0001,
156,91.2,51,1.74,0.973384,-58.841892,,60.843363,,,0.0001,
157,210.12,91,1.76,0.973405,132.968399,,62.436774,,,0.0001,
158,21.15,21,1.76,0.973422,-215.542114,,59.888467,,,0.0001,
159,24.05,25,1.77,0.973433,-211.999878,,57.459515,,,0.0001,
160,86.08,49,1.78,0.973445,-57.111767,,56.700889,,,0.0001,
161,211.03,92,1.8,0.973457,144.094955,,58.492179,,,0.0001,
162,209.47,90,1.82,0.973468,141.879318,,60.278381,,,0.0001,
163,43.77,33,1.83,0.973482,-141.267731,,58.392595,,,0.0001,
164,185.14,84,1.85,0.973489,96.069855,,59.671461,,,0.0001,
165,201.34,91,1.87,0.9735,117.269081,,61.085846,,,0.0001,
166,67.92,42,1.88,0.973507,-111.526184,,59.735797,,,0.0001,
167,140.17,69,1.89,0.973519,40.785778,,60.155809,,,0.0001,
168,73.72,45,1.9,0.97353,-96.064423,,58.929872,,,0.0001,
169,58.25,43,1.91,0.973548,-106.050323,,57.449502,,,0.0001,
170,202.59,91,1.93,0.973561,118.965935,,59.008948,,,0.0001,
171,86.45,50,1.94,0.973577,-59.07333,,58.165347,,,0.0001,
172,112.3,61,1.95,0.973588,-23.462555,,57.911539,,,0.0001,
173,89.37,52,1.96,0.973601,-52.615845,,57.19981,,,0.0001,
174,224.3,106,1.99,0.973611,154.400421,,59.175484,,,0.0001,
175,137.92,68,2.0,0.973614,14.668007,,59.45705,,,0.0001,
176,195.78,88,2.02,0.973615,106.933235,,60.812505,,,0.0001,
177,138.93,69,2.03,0.973613,15.331276,,61.042541,,,0.0001,
178,206.42,92,2.05,0.973617,123.8974,,62.498126,,,0.0001,
179,204.63,90,2.07,0.973621,112.474319,,63.923044,,,0.0001,
180,112.12,59,2.12,0.973619,-43.626183,,63.444194,,,0.0001,
181,201.61,90,2.17,0.973622,107.465019,,64.697545,,,0.0001,
182,148.42,72,2.19,0.973627,23.940752,,64.945437,,,0.0001,
183,191.95,87,2.21,0.973631,78.092392,,65.932435,,,0.0001,
184,185.98,86,2.22,0.973635,68.512131,,66.803528,,,0.0001,
185,209.34,91,2.24,0.973639,106.630836,,68.098488,,,0.0001,
186,188.66,83,2.26,0.973641,65.85627,,68.966254,,,0.0001,
187,199.42,91,2.28,0.973644,74.505402,,69.88093,,,0.0001,
188,205.78,94,2.3,0.973648,76.548141,,70.829882,,,0.0001,
189,209.85,100,2.32,0.973654,76.164513,,71.713636,,,0.0001,
190,82.01,47,2.33,0.973657,-128.335281,,70.167973,,,0.0001,
191,88.97,58,2.34,0.973664,-101.055725,,68.794245,,,0.0001,
192,80.92,51,2.35,0.973674,-107.004433,,67.379027,,,0.0001,
193,153.56,74,2.37,0.973679,6.938465,,67.581628,,,0.0001,
194,222.74,106,2.39,0.97369,124.037292,,68.991383,,,0.0001,
195,76.25,45,2.4,0.973701,-113.027092,,67.54714,,,0.0001,
196,116.94,61,2.41,0.973717,-43.587772,,66.9472,,,0.0001,
197,144.98,70,2.43,0.973732,5.204219,,67.008925,,,0.0001,
198,199.4,90,2.44,0.973738,70.390015,,68.017322,,,0.0001,
199,190.99,89,2.46,0.973746,67.353317,,68.81344,,,0.0001,
200,27.82,26,2.47,0.973749,-241.378082,,66.04016,,,0.0001,
201,83.56,49,2.56,0.973755,-95.236549,,64.793043,,,0.0001,
202,207.99,91,2.58,0.973758,107.753433,,66.1669,,,0.0001,
203,102.11,57,2.59,0.97376,-72.919464,,65.294222,,,0.0001,
204,196.6,95,2.61,0.973766,78.809029,,66.170954,,,0.0001,
205,127.65,63,2.63,0.973772,-17.015543,,65.957443,,,0.0001,
206,104.46,59,2.64,0.973779,-54.832581,,65.218332,,,0.0001,
207,207.78,91,2.66,0.973786,106.098213,,66.547279,,,0.0001,
208,231.56,113,2.68,0.973792,129.389313,,68.175413,,,0.0001,
209,204.95,89,2.7,0.973804,104.084282,,69.37075,,,0.0001,
210,82.33,49,2.71,0.973811,-125.052971,,67.906169,,,0.0001,
211,209.23,92,2.73,0.973815,91.380486,,69.117607,,,0.0001,
212,188.8,85,2.75,0.973821,66.546143,,69.915152,,,0.0001,
213,202.71,91,2.76,0.97383,81.303497,,70.867215,,,0.0001,
214,210.4,92,2.78,0.973828,70.703064,,71.922229,,,0.0001,
215,196.47,90,2.8,0.973822,46.974304,,72.62233,,,0.0001,
216,200.04,90,2.82,0.973816,65.404831,,73.45506,,,0.0001,
217,206.46,92,2.84,0.973808,63.945705,,74.316708,,,0.0001,
218,193.98,87,2.86,0.973801,47.501778,,74.907133,,,0.0001,
219,204.79,89,2.87,0.973796,67.976913,,75.752352,,,0.0001,
220,202.83,91,2.89,0.973786,44.294041,,76.397383,,,0.0001,
221,74.44,57,2.9,0.973773,-172.029556,,74.357628,,,0.0001,
222,208.91,100,2.93,0.973765,51.570381,,74.953679,,,0.0001,
