episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,12.53,26,0.02,0.976164,-70.678696,,20.0,,,0.01,
2,4.03,16,0.02,0.976044,-80.514305,,20.0,,,0.01,
3,71.32,42,0.03,0.976919,58.901203,,20.0,,,0.01,
4,76.06,45,0.04,0.975741,55.162518,,20.0,,,0.01,
5,67.37,39,0.05,0.975007,57.131306,,20.0,,,0.01,
6,42.57,27,0.06,0.974128,3.377774,,20.0,,,0.01,
7,40.15,26,0.06,0.973398,-0.382955,,20.0,,,0.01,
8,40.26,26,0.07,0.973341,1.622663,,20.0,,,0.01,
9,40.28,26,0.07,0.97279,-3.773773,,20.0,,,0.01,
10,41.68,27,0.08,0.972784,3.153078,,20.0,,,0.01,
11,40.43,27,0.09,0.97258,-3.985127,,20.0,,,0.01,
12,39.28,26,0.09,0.972096,-6.83543,,20.0,,,0.01,
13,43.63,29,0.1,0.971847,7.252405,,20.0,,,0.01,
14,45.44,30,0.1,0.971591,7.84724,,20.0,,,0.01,
15,40.91,25,0.11,0.971512,10.324393,,20.0,,,0.01,
16,44.45,28,0.11,0.972133,20.184591,,20.0,,,0.01,
17,48.45,31,0.12,0.9727,24.814468,,20.0,,,0.01,
18,50.61,32,0.13,0.973417,29.237606,,20.0,,,0.01,
19,56.81,38,0.14,0.973305,25.088985,,20.0,,,0.01,
20,48.77,31,0.14,0.973418,25.84981,,20.0,,,0.01,
21,52.38,33,0.15,0.972494,27.877651,,20.0,,,0.01,
22,47.08,30,0.15,0.972201,27.409142,,20.0,,,0.01,
23,15.81,17,0.16,0.97168,-57.240322,,20.0,,,0.01,
24,32.34,26,0.16,0.971107,-14.483751,,20.0,,,0.01,
25,35.3,28,0.17,0.971002,-2.672292,,20.0,,,0.01,
26,25.79,23,0.17,0.971108,-25.900127,,20.0,,,0.01,
27,29.56,26,0.18,0.970616,-19.80534,,20.0,,,0.01,
28,42.53,33,0.19,0.969438,2.567912,,20.0,,,0.01,
29,47.87,34,0.19,0.96843,17.431971,,20.0,,,0.01,
30,44.49,33,0.2,0.967612,8.132178,,20.0,,,0.01,
31,55.76,38,0.21,0.96715,37.575508,,20.0,,,0.01,
32,55.26,39,0.22,0.966723,35.002014,,20.0,,,0.01,
33,64.56,42,0.22,0.966063,46.497601,,20.0,,,0.01,
34,71.6,45,0.23,0.965214,61.386074,,20.0,,,0.01,
35,7.84,15,0.24,0.964533,-71.349358,,20.0,,,0.01,
36,10.37,18,0.24,0.963947,-67.658264,,20.0,,,0.01,
37,13.41,19,0.24,0.96359,-58.820511,,20.0,,,0.01,
38,5.63,12,0.25,0.963296,-75.000587,,20.0,,,0.01,
39,6.22,12,0.25,0.962963,-79.26767,,20.0,,,0.01,
40,2.83,8,0.25,0.962592,-82.792023,,20.0,,,0.01,
41,5.33,12,0.25,0.962294,-76.545387,,20.0,,,0.01,
42,5.57,12,0.26,0.962496,-70.385597,,20.0,,,0.01,
43,2.22,9,0.26,0.962931,-77.362625,,20.0,,,0.01,
44,1.51,10,0.26,0.963073,-89.392242,,20.0,,,0.01,
45,4.5,13,0.26,0.963159,-83.800858,,20.0,,,0.01,
