episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error,actor_lr,critic_lr
1,12.53,26,0.01,0.974077,,,,,,0.001,
2,5.23,24,0.03,0.974077,,,,,,0.001,
3,68.19,79,0.07,0.974077,,,,,,0.001,
4,81.48,58,0.12,0.974077,,,,,,0.001,
5,45.01,55,0.26,0.974285,0.911519,,20.201012,,,0.001,
6,19.07,28,0.34,0.974285,,,,,,0.001,
7,45.42,57,0.39,0.974285,,,,,,0.001,
8,66.82,61,0.44,0.974285,,,,,,0.001,
9,110.46,92,0.5,0.974285,,,,,,0.001,
10,5.53,22,0.6,0.974183,-2.08434,,24.432274,,,0.001,
11,21.19,44,0.62,0.974183,,,,,,0.001,
12,166.39,111,0.72,0.974183,,,,,,0.001,
13,9.9,17,0.73,0.974183,,,,,,0.001,
14,103.55,82,0.88,0.974183,,,,,,0.001,
15,18.2,26,1.07,0.974064,-1.010051,,37.937832,,,0.001,
16,13.86,18,1.08,0.974064,,,,,,0.001,
17,11.31,25,1.1,0.974064,,,,,,0.001,
18,110.9,66,1.13,0.974064,,,,,,0.001,
19,52.04,39,1.16,0.974064,,,,,,0.001,
20,33.04,29,1.32,0.974022,2.344255,,28.23974,,,0.001,
21,15.68,28,1.33,0.974022,,,,,,0.001,
22,318.9,254,1.58,0.974022,,,,,,0.001,
23,34.99,38,1.62,0.974022,,,,,,0.001,
24,30.48,43,1.65,0.974022,,,,,,0.001,
25,164.56,92,1.93,0.973973,-0.482985,,63.433086,,,0.001,
26,236.82,123,2.04,0.973973,,,,,,0.001,
27,56.04,51,2.08,0.973973,,,,,,0.001,
28,172.95,143,2.17,0.973973,,,,,,0.001,
29,240.82,160,2.31,0.973973,,,,,,0.001,
30,52.41,61,2.71,0.973955,-0.913442,,64.207481,,,0.001,
31,128.06,87,2.8,0.973955,,,,,,0.001,
32,143.16,84,2.87,0.973955,,,,,,0.001,
33,11.7,14,2.88,0.973955,,,,,,0.001,
34,38.89,42,2.91,0.973955,,,,,,0.001,
35,214.48,152,3.13,0.973894,-2.154232,,56.485546,,,0.001,
36,92.69,53,3.16,0.973894,,,,,,0.001,
37,58.16,48,3.19,0.973894,,,,,,0.001,
38,16.78,17,3.19,0.973894,,,,,,0.001,
39,143.33,72,3.25,0.973894,,,,,,0.001,
40,126.1,69,3.44,0.973828,-0.787596,,48.471012,,,0.001,
41,242.24,115,3.52,0.973828,,,,,,0.001,
42,132.88,86,3.6,0.973828,,,,,,0.001,
43,212.54,127,3.69,0.973828,,,,,,0.001,
44,138.0,83,3.73,0.973828,,,,,,0.001,
45,138.49,73,3.94,0.973827,1.906549,,73.440514,,,0.001,
46,126.36,66,3.98,0.973827,,,,,,0.001,
47,182.36,118,4.09,0.973827,,,,,,0.001,
48,165.94,105,4.15,0.973827,,,,,,0.001,
49,144.46,73,4.19,0.973827,,,,,,0.001,
50,223.22,116,4.44,0.973826,0.149566,,73.051666,,,0.001,
51,124.83,73,4.8,0.973826,,,,,,0.001,
52,156.53,75,4.84,0.973826,,,,,,0.001,
53,111.05,60,4.87,0.973826,,,,,,0.001,
54,140.98,76,4.92,0.973826,,,,,,0.001,
55,122.74,76,5.09,0.973855,0.702856,,60.215263,,,0.001,
56,169.35,84,5.16,0.973855,,,,,,0.001,
57,129.85,86,5.23,0.973855,,,,,,0.001,
58,183.9,108,5.34,0.973855,,,,,,0.001,
59,116.59,63,5.37,0.973855,,,,,,0.001,
60,76.13,46,5.54,0.973902,1.496886,,62.967777,,,0.001,
61,151.93,96,5.61,0.973902,,,,,,0.001,
62,156.41,83,5.67,0.973902,,,,,,0.001,
63,153.61,85,5.75,0.973902,,,,,,0.001,
64,129.6,79,5.8,0.973902,,,,,,0.001,
65,166.54,89,5.99,0.973967,1.855037,,64.890282,,,0.001,
66,160.15,113,6.07,0.973967,,,,,,0.001,
67,232.05,123,6.16,0.973967,,,,,,0.001,
68,176.79,106,6.23,0.973967,,,,,,0.001,
69,190.95,92,6.33,0.973967,,,,,,0.001,
70,126.79,71,6.55,0.974033,0.390519,,73.5588,,,0.001,
71,117.88,63,6.59,0.974033,,,,,,0.001,
72,88.62,54,6.64,0.974033,,,,,,0.001,
73,180.58,103,6.72,0.974033,,,,,,0.001,
74,128.79,70,6.76,0.974033,,,,,,0.001,
75,181.66,114,6.98,0.974108,0.660697,,62.327179,,,0.001,
76,236.4,134,7.09,0.974108,,,,,,0.001,
77,215.7,95,7.16,0.974108,,,,,,0.001,
78,199.77,94,7.22,0.974108,,,,,,0.001,
79,260.31,139,7.3,0.974108,,,,,,0.001,
80,145.92,100,7.58,0.974212,1.970359,,87.64476,,,0.001,
81,263.46,122,7.64,0.974212,,,,,,0.001,
82,156.5,95,7.73,0.974212,,,,,,0.001,
83,196.01,105,7.8,0.974212,,,,,,0.001,
84,287.33,172,7.89,0.974212,,,,,,0.001,
85,208.17,91,8.15,0.974163,-5.540652,,89.000458,,,0.001,
86,250.83,115,8.23,0.974163,,,,,,0.001,
