step,phi_L,phi_H,perf,bound_updated
361882,0.800,1.100,0.78,L
374691,0.700,1.100,0.74,L
376390,0.700,1.200,0.72,H
379098,0.600,1.200,0.78,L
384802,0.600,1.300,0.74,H
392270,0.600,1.400,0.76,H
394183,0.500,1.400,0.74,L
395864,0.500,1.500,0.74,H
398603,0.400,1.500,0.78,L
399763,0.400,1.600,0.78,H
402252,0.300,1.600,0.76,L
404203,0.300,1.700,0.76,H
405887,0.200,1.700,0.70,L
411120,0.200,1.800,0.70,H
412733,0.100,1.800,0.76,L
415246,0.100,1.900,0.74,H
429063,0.100,2.000,0.78,H
432320,0.100,2.100,0.72,H
438067,0.100,2.200,0.88,H
443867,0.100,2.300,0.78,H
447110,0.100,2.400,0.78,H
449833,0.100,2.500,0.78,H
453553,0.100,2.600,0.74,H
456936,0.100,2.700,0.84,H
460373,0.100,2.800,0.86,H
463244,0.100,2.900,0.74,H
466270,0.100,3.000,0.74,H
472785,0.100,3.100,0.72,H
479519,0.100,3.200,0.78,H
486562,0.100,3.300,0.84,H
489439,0.100,3.400,0.80,H
492631,0.100,3.500,0.78,H
494989,0.100,3.600,0.82,H
498056,0.100,3.700,0.80,H
