step,phi_L,phi_H,perf,bound_updated
8406,1.000,1.200,0.24,H
10467,1.000,1.200,0.16,L
15488,1.000,1.200,0.24,H
19812,1.000,1.200,0.16,L
23879,1.000,1.200,0.22,H
28855,1.000,1.200,0.20,L
31055,1.000,1.200,0.16,H
36519,1.000,1.200,0.28,L
41600,1.000,1.200,0.08,H
45007,1.000,1.200,0.14,L
47999,1.000,1.200,0.26,H
206058,0.800,1.100,0.70,L
211875,0.800,1.200,0.70,H
225341,0.700,1.200,0.70,L
241151,0.600,1.200,0.70,L
249775,0.600,1.300,0.80,H
252210,0.500,1.300,0.72,L
253724,0.500,1.400,0.70,H
256459,0.400,1.400,0.82,L
257483,0.400,1.500,0.72,H
259837,0.300,1.500,0.72,L
261099,0.300,1.600,0.78,H
264121,0.300,1.700,0.90,H
264277,0.200,1.700,0.72,L
267718,0.200,1.800,0.74,H
268749,0.100,1.800,0.74,L
270558,0.100,1.900,0.86,H
273902,0.100,2.000,0.78,H
276890,0.100,2.100,0.88,H
280895,0.100,2.200,0.78,H
284473,0.100,2.300,0.78,H
288087,0.100,2.400,0.78,H
291477,0.100,2.500,0.78,H
294924,0.100,2.600,0.84,H
297711,0.100,2.700,0.82,H
301009,0.100,2.800,0.82,H
303936,0.100,2.900,0.86,H
306813,0.100,3.000,0.88,H
309683,0.100,3.100,0.88,H
313275,0.100,3.200,0.70,H
327699,0.100,3.300,0.74,H
332616,0.100,3.400,0.80,H
342124,0.100,3.500,0.72,H
345693,0.100,3.600,0.74,H
347935,0.100,3.700,0.92,H
349985,0.100,3.800,0.92,H
352067,0.100,3.900,0.90,H
354573,0.100,4.000,0.88,H
356958,0.100,4.100,0.94,H
359479,0.100,4.200,0.86,H
361772,0.100,4.300,0.90,H
363863,0.100,4.400,0.92,H
365890,0.100,4.500,0.98,H
368442,0.100,4.600,0.92,H
370558,0.100,4.700,0.88,H
373380,0.100,4.800,0.88,H
375643,0.100,4.900,0.94,H
377742,0.100,5.000,0.90,H
380245,0.100,5.100,0.82,H
382521,0.100,5.200,0.90,H
384434,0.100,5.300,0.86,H
387066,0.100,5.400,0.90,H
389985,0.100,5.500,0.88,H
392476,0.100,5.600,0.86,H
394751,0.100,5.700,0.88,H
397300,0.100,5.800,0.94,H
399647,0.100,5.900,0.90,H
401525,0.100,6.000,0.96,H
404159,0.100,6.100,0.98,H
406099,0.100,6.200,0.96,H
407819,0.100,6.300,0.90,H
409417,0.100,6.400,0.98,H
411605,0.100,6.500,0.92,H
413490,0.100,6.600,0.96,H
415240,0.100,6.700,0.90,H
417539,0.100,6.800,0.92,H
420370,0.100,6.900,0.88,H
422223,0.100,7.000,0.94,H
424996,0.100,7.100,0.98,H
427725,0.100,7.200,0.88,H
429791,0.100,7.300,0.98,H
431648,0.100,7.400,0.92,H
433440,0.100,7.500,0.86,H
435296,0.100,7.600,0.96,H
437500,0.100,7.700,0.96,H
439055,0.100,7.800,0.88,H
440992,0.100,7.900,0.98,H
443112,0.100,8.000,0.96,H
445268,0.100,8.100,0.98,H
447564,0.100,8.200,0.84,H
449692,0.100,8.300,0.90,H
451659,0.100,8.400,0.98,H
453587,0.100,8.500,0.88,H
455980,0.100,8.600,0.88,H
458332,0.100,8.700,0.90,H
459674,0.100,8.800,0.96,H
462199,0.100,8.900,0.92,H
463825,0.100,9.000,0.96,H
466023,0.100,9.100,0.98,H
467887,0.100,9.200,0.90,H
469751,0.100,9.300,0.94,H
472333,0.100,9.400,0.88,H
474434,0.100,9.500,0.92,H
476715,0.100,9.600,0.92,H
478950,0.100,9.700,0.92,H
480604,0.100,9.800,0.98,H
482831,0.100,9.900,0.96,H
485006,0.100,10.000,0.96,H
487111,0.100,10.100,0.96,H
489317,0.100,10.200,0.98,H
490988,0.100,10.300,0.96,H
493362,0.100,10.400,0.88,H
495593,0.100,10.500,0.92,H
497555,0.100,10.600,0.94,H
499519,0.100,10.700,0.94,H
